location,datetime,pr,obs_CDF,past_CDF,future_CDF,past_pr,future_pr,delta,projected_pr
Boston,2000-08-05 00:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 01:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 02:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 03:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 04:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 05:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 06:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 07:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 08:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 09:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 10:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 11:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 12:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 13:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 14:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 15:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 16:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 17:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 18:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 19:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 20:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 21:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 22:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-05 23:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 00:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 01:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 02:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 03:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 04:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 05:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 06:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 07:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 08:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 09:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 10:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 11:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 12:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 13:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 14:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 15:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 16:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 17:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 18:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 19:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 20:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 21:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 22:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-06 23:00:00,0.10000000149011612,0.33377756853707535,0.343354429646848,0.3579812434090822,0.055746500631837836,-0.0329224647490334,1.0,0.10000000149011612
Boston,2000-08-07 00:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 01:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 02:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 03:00:00,0.10000000149011612,0.33377756853707535,0.343354429646848,0.3579812434090822,0.055746500631837836,-0.0329224647490334,1.0,0.10000000149011612
Boston,2000-08-07 04:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 05:00:00,0.10000000149011612,0.33377756853707535,0.343354429646848,0.3579812434090822,0.055746500631837836,-0.0329224647490334,1.0,0.10000000149011612
Boston,2000-08-07 06:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 07:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 08:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 09:00:00,0.10000000149011612,0.33377756853707535,0.343354429646848,0.3579812434090822,0.055746500631837836,-0.0329224647490334,1.0,0.10000000149011612
Boston,2000-08-07 10:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 11:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 12:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 13:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 14:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 15:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 16:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 17:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 18:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 19:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 20:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 21:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 22:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-07 23:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 00:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 01:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 02:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 03:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 04:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 05:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 06:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 07:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 08:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 09:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 10:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 11:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 12:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 13:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 14:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 15:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 16:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 17:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 18:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 19:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 20:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 21:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 22:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-08 23:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 00:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 01:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 02:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 03:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 04:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 05:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 06:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 07:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 08:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 09:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 10:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 11:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 12:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 13:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 14:00:00,0.10000000149011612,0.33377756853707535,0.343354429646848,0.3579812434090822,0.055746500631837836,-0.0329224647490334,1.0,0.10000000149011612
Boston,2000-08-09 15:00:00,0.4000000059604645,0.4243216887211553,0.4083931823331155,0.4126096324529678,0.4739824139392022,0.46477946237654444,0.980583770004939,0.39223351384671035
Boston,2000-08-09 16:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 17:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
Boston,2000-08-09 18:00:00,0.0,0.3038002296769417,0.32174900622596364,0.33976231534062984,-0.0836654704706169,-0.19882310712422596,1.0,0.0
